"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"218",150,15829126,662.5,1,595.4,509.3,25,2.23,596.5,15829150
"219",193,15831711,824.4,1,642.7,602,38,3.69,578.6,15831748
"220",270,15834752,550,1,822.6,601.7,37,5.57,550.6,15834788
"221",208,15834919,434.9,1,561.6,550.9,25,2.53,537.4,15834943
"222",502,15835219,1351.6,1,449.9,537.3,67,17.96,471.4,15835285
"223",379,15839198,889.2,1,1291.3,472.8,43,8.15,475.6,15839240
"224",463,15841871,380.2,1,884.3,482,54,10.07,496,15841924
"225",495,15842327,1282.5,1,375.1,511.7,68,18,481.7,15842394
"226",63,15842968,1282.4,1,1308.2,499.8,11,0.59,513.7,15842978
"227",1012,15843237,461.3,1,1263.9,539.8,251,16.07,625.6,15843487
"228",1536,15843659,1266.4,1,493,626.4,178,15.39,658,15843836
"229",368,15844581,903.3,1,1280.9,639.1,48,7.81,554.7,15844628
"230",46,15845820,927.4,1,909,604,9,0.37,603.4,15845828
"231",116,15847467,891.9,1,920.8,562.3,28,0.65,549,15847494
"232",78,15847731,872.6,1,884.5,553.4,22,0.54,530,15847752
"233",133,15847966,824.7,1,865.5,524.9,30,0.89,509.2,15847995
"234",389,15848497,489,1,833.6,522.7,50,6.91,526.4,15848546
"235",526,15848753,1278.9,1,479.7,535.2,65,15.96,512.1,15848817
"236",201,15849076,1374.8,1,1326.2,519.5,32,1.59,581.3,15849107
"237",285,15849804,426.7,1,1374.7,597.6,100,18.72,583.7,15849903
"238",229,15850764,766,1,466.6,569.2,45,5.99,584.2,15850808
"239",265,15851030,1077,1,776,582.3,54,6.16,625.1,15851083
"240",286,15851389,929.2,1,1097.8,623.8,25,3.43,607.9,15851413
"241",181,15851824,864.1,1,920.3,602.5,32,1.14,599,15851855
"242",45,15852058,858,1,843,601,7,0.31,603.1,15852064
"243",105,15852400,818.5,1,855,597.3,22,0.85,576.6,15852421
"244",206,15854085,642.3,1,797.2,555.4,40,3.53,475.8,15854124
"245",362,15854285,886,1,654.6,477.4,29,4.95,555.7,15854313
"246",132,15854996,883.8,1,927.9,549.6,30,0.99,529.5,15855025
"247",358,15855608,538.7,1,876.9,535,41,6.85,503.1,15855648
"248",129,15855881,537.8,1,544.4,510,23,2.02,411.2,15855903
"249",504,15856082,1285.2,1,547.2,420,53,14.88,491,15856134
"250",306,15856806,841.1,1,1286.8,502.7,55,9.05,540.6,15856860
"251",195,15857203,745.6,1,851.7,522.6,23,2.15,526.5,15857225
"252",139,15857505,842.1,1,760.8,521.6,19,1.68,538,15857523
"253",40,15857851,853.3,1,863.3,541.4,7,0.25,548.4,15857857
"254",119,15858068,799.2,1,860.8,548.2,21,1.41,579.8,15858088
"255",48,15858567,878.5,1,849.6,565.6,14,0.59,567,15858580
"256",191,15859842,972.9,1,879.6,532.9,180,2.59,618.6,15860021
"257",205,15860623,882.9,1,1001.1,593.6,25,2.43,576,15860647
"258",75,15861411,900.3,1,869.9,587.2,12,0.72,568.8,15861422
"259",348,15862456,527.9,1,902.3,565.9,42,7.57,528.1,15862497
"260",447,15862798,1286.6,1,535,537.2,56,15.03,524.4,15862853
"261",187,15863085,1383.5,1,1303.4,525.3,31,1.7,553.2,15863115
"262",341,15866293,731.6,1,1350.5,579.4,72,12.47,536.4,15866364
"263",179,15867068,831,1,755.1,543.1,24,1.63,568.8,15867091
"264",155,15867322,916.6,1,837.3,563,22,1.62,569.2,15867343
"265",156,15868026,870.7,1,925.8,565.9,29,1.14,555.3,15868054
"266",89,15868297,908.8,1,869.4,556.8,18,0.83,567.4,15868314
"267",271,15869322,587,1,907.4,554.4,43,6.46,561.1,15869364
"268",255,15869544,448.8,1,604.8,556.1,25,3.39,489.5,15869568
"269",539,15869740,1298.9,1,442.6,482.3,58,17.04,493.1,15869797
"270",352,15870941,874.1,1,1279,485.8,44,8.41,578.7,15870984
"271",49,15871646,914.2,1,912.8,611.6,10,0.44,633.2,15871655
"272",58,15871979,902,1,905.5,635.5,19,0.14,641.2,15871997
"273",1416,15872126,869.9,1,900.9,652.9,173,1,614.6,15872298
"274",240,15873204,1050.8,1,903.2,589.4,25,3,590,15873228
"275",244,15875031,883.6,1,1037.2,585.1,27,3.3,533.5,15875057
"276",264,15875318,1117.8,1,879.4,525.1,47,4.96,576.3,15875364
"277",371,15875678,839.3,1,1145.6,589.2,41,6.46,505,15875718
"278",131,15875912,893.8,1,854.7,520.9,28,0.85,534.8,15875939
"279",376,15876196,562.7,1,904.9,544.6,50,6.97,497.2,15876245
"280",62,15876737,548,1,563.3,509.9,17,0.33,515.8,15876753
"281",474,15876949,1311.3,1,547.8,514.4,64,15.3,487.4,15877012
"282",229,15877288,1487.4,1,1343,491.5,27,2.88,504.8,15877314
"283",612,15877418,544,1,1493.6,502.3,59,18.82,512.7,15877476
"284",258,15877961,831.9,1,561.7,519.6,40,5.44,518.6,15878000
"285",246,15878276,1038.1,1,849.2,522,32,3.84,518.1,15878307
"286",280,15879266,807.3,1,1015.1,520.3,41,4.23,525.1,15879306
"287",217,15879612,953.8,1,825.8,532.1,25,2.61,529,15879636
